scenario,ir100,pia,ir100.B,pia.B,ir100.H,pia.H,ir100.W,pia.W,testspy,pytest,prep,dx,dx.delay,vl.supp,vl.supp.all,testspy.B,pytest.B,prep.B,dx.B,dx.delay.B,vl.supp.B,vl.supp.all.B,testspy.H,pytest.H,prep.H,dx.H,dx.delay.H,vl.supp.H,vl.supp.all.H,testspy.W,pytest.W,prep.W,dx.W,dx.delay.W,vl.supp.W,vl.supp.all.W
1000,"1.19 (0.92, 1.48)",NA,"2.41 (1.83, 3.05)",NA,"0.61 (0.00, 1.60)",NA,"0.35 (0.19, 0.54)",NA,"0.53 (0.52, 0.54)","30.1 (29.2, 31.0)","15.0 (14.1, 15.8)","83.5 (82.0, 85.2)","2.65 (2.44, 2.88)","58.1 (56.1, 60.2)","48.8 (46.8, 50.8)","0.34 (0.33, 0.35)","21.0 (19.7, 22.2)","10.4 (9.3, 11.6)","82.4 (80.6, 84.1)","2.87 (2.62, 3.13)","55.3 (52.9, 57.5)","45.7 (43.6, 48.0)","0.40 (0.36, 0.43)","22.7 (19.3, 26.3)","10.8 (7.7, 14.0)","81.3 (73.8, 88.6)","2.88 (1.81, 4.63)","58.2 (47.0, 69.7)","47.5 (37.6, 58.7)","0.69 (0.68, 0.70)","38.0 (36.7, 39.2)","18.4 (17.2, 19.7)","89.7 (87.0, 92.6)","1.83 (1.46, 2.25)","71.0 (66.7, 75.1)","63.9 (59.8, 68.3)"
1001,"0.99 (0.75, 1.25)","14.7 (14.5, 15.0)","1.99 (1.47, 2.60)","13.8 (13.6, 14.1)","0.58 (0.00, 1.38)","16.2 (15.2, 17.1)","0.27 (0.13, 0.44)","18.8 (18.4, 19.2)","0.93 (0.92, 0.94)","50.4 (49.5, 51.4)","26.3 (25.1, 27.4)","92.1 (91.0, 93.3)","1.96 (1.81, 2.15)","57.7 (55.8, 59.5)","53.3 (51.3, 55.3)","0.64 (0.62, 0.65)","38.5 (37.1, 40.2)","19.4 (17.8, 21.0)","91.5 (90.2, 92.8)","2.14 (1.94, 2.34)","54.9 (52.8, 57.1)","50.5 (48.3, 52.8)","0.71 (0.67, 0.76)","40.2 (36.0, 44.4)","19.7 (15.7, 24.2)","91.3 (84.3, 97.3)","2.21 (1.44, 3.41)","58.0 (45.6, 69.1)","52.9 (40.7, 64.2)","1.18 (1.16, 1.20)","60.6 (59.3, 61.9)","31.4 (29.8, 33.0)","95.6 (93.4, 97.5)","1.15 (0.90, 1.44)","70.6 (66.0, 74.8)","67.6 (63.2, 72.0)"
1002,"0.78 (0.58, 1.01)","32.2 (32.0, 32.4)","1.59 (1.15, 2.11)","30.3 (30.1, 30.5)","0.39 (0.00, 1.14)","35.3 (34.4, 36.1)","0.19 (0.08, 0.34)","41.1 (40.8, 41.5)","1.75 (1.74, 1.77)","79.9 (79.1, 80.8)","47.7 (46.4, 49.0)","97.2 (96.5, 97.9)","1.11 (1.01, 1.23)","56.7 (54.8, 58.6)","55.3 (53.4, 57.2)","1.30 (1.28, 1.32)","69.8 (68.3, 71.3)","38.6 (36.7, 40.7)","97.0 (96.1, 97.8)","1.21 (1.10, 1.35)","54.1 (52.0, 56.3)","52.7 (50.6, 54.9)","1.41 (1.36, 1.47)","70.9 (66.7, 74.9)","38.7 (33.3, 44.3)","97.2 (92.8, 100.0)","1.33 (0.77, 2.13)","56.9 (45.1, 68.5)","55.7 (43.2, 66.7)","2.14 (2.13, 2.16)","88.7 (87.8, 89.5)","54.6 (52.9, 56.4)","98.5 (97.3, 99.5)","0.59 (0.46, 0.73)","69.9 (64.8, 74.0)","69.0 (64.1, 73.4)"
1003,"0.66 (0.48, 0.85)","43.1 (42.9, 43.2)","1.34 (0.97, 1.77)","40.8 (40.6, 41.0)","0.38 (0.00, 0.99)","47.1 (46.4, 47.6)","0.15 (0.06, 0.27)","53.5 (53.2, 53.8)","2.63 (2.62, 2.65)","94.1 (93.7, 94.6)","67.0 (65.4, 68.5)","98.7 (98.2, 99.2)","0.71 (0.63, 0.79)","56.1 (54.1, 57.9)","55.5 (53.5, 57.4)","2.05 (2.02, 2.07)","89.6 (88.7, 90.5)","58.0 (55.4, 60.4)","98.6 (98.0, 99.1)","0.77 (0.69, 0.87)","53.5 (51.4, 55.8)","52.9 (50.8, 55.1)","2.19 (2.12, 2.26)","90.2 (87.5, 92.7)","57.7 (51.6, 64.3)","98.6 (95.7, 100.0)","0.83 (0.47, 1.64)","56.1 (43.8, 67.6)","55.3 (43.5, 66.7)","3.13 (3.11, 3.16)","98.1 (97.7, 98.4)","73.8 (71.9, 75.8)","99.5 (98.4, 100.0)","0.37 (0.29, 0.48)","69.4 (64.6, 74.2)","69.1 (64.3, 73.8)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,"0.80 (0.59, 1.02)","30.5 (30.4, 30.7)","1.58 (1.17, 2.07)","30.2 (30.0, 30.4)","0.39 (0.00, 1.16)","35.0 (34.2, 35.6)","0.23 (0.11, 0.38)","31.5 (31.1, 31.8)","1.41 (1.39, 1.42)","71.1 (70.1, 71.9)","39.0 (37.9, 40.3)","97.0 (96.3, 97.7)","1.17 (1.06, 1.29)","56.8 (54.9, 58.8)","55.3 (53.4, 57.2)","1.31 (1.29, 1.33)","70.0 (68.5, 71.3)","38.7 (36.8, 40.7)","97.0 (96.2, 97.7)","1.21 (1.10, 1.35)","54.1 (52.1, 56.3)","52.6 (50.6, 54.9)","1.44 (1.38, 1.50)","71.4 (67.5, 75.2)","39.1 (33.9, 44.4)","97.2 (92.8, 100.0)","1.30 (0.75, 2.02)","56.9 (45.5, 68.0)","55.4 (44.1, 66.7)","1.48 (1.47, 1.50)","72.0 (70.7, 73.2)","39.2 (37.6, 40.9)","97.2 (95.4, 98.6)","0.92 (0.73, 1.15)","70.1 (65.9, 74.4)","68.3 (63.8, 72.8)"
1005,"0.67 (0.48, 0.88)","42.0 (41.8, 42.2)","1.32 (0.93, 1.79)","41.2 (41.0, 41.3)","0.38 (0.00, 0.98)","46.7 (45.9, 47.2)","0.17 (0.08, 0.32)","45.1 (44.8, 45.4)","2.18 (2.17, 2.20)","90.4 (89.8, 91.0)","57.7 (56.3, 59.2)","98.6 (98.1, 99.1)","0.73 (0.66, 0.83)","56.2 (54.2, 58.2)","55.5 (53.5, 57.6)","2.07 (2.05, 2.09)","89.8 (88.9, 90.8)","57.8 (55.5, 60.2)","98.6 (98.0, 99.2)","0.77 (0.69, 0.87)","53.5 (51.3, 55.6)","52.9 (50.8, 55.2)","2.23 (2.16, 2.29)","90.7 (87.9, 93.2)","57.8 (51.9, 63.8)","98.6 (95.6, 100.0)","0.84 (0.46, 1.60)","56.3 (44.4, 68.6)","55.9 (44.1, 67.7)","2.27 (2.25, 2.29)","90.8 (90.1, 91.6)","57.8 (55.9, 59.6)","98.8 (97.4, 99.7)","0.56 (0.42, 0.71)","69.6 (65.3, 74.3)","68.9 (64.5, 73.4)"
1006,"0.56 (0.41, 0.73)","50.9 (50.8, 51.1)","1.11 (0.80, 1.50)","49.8 (49.6, 49.9)","0.20 (0.00, 0.83)","56.1 (55.6, 56.8)","0.15 (0.06, 0.26)","55.4 (55.1, 55.6)","3.28 (3.26, 3.30)","98.5 (98.2, 98.7)","78.5 (76.7, 80.4)","99.3 (99.0, 99.7)","0.48 (0.42, 0.54)","55.7 (53.6, 57.6)","55.5 (53.5, 57.4)","3.19 (3.16, 3.22)","98.3 (97.8, 98.6)","79.1 (76.4, 82.1)","99.3 (98.9, 99.6)","0.51 (0.44, 0.60)","53.1 (50.8, 55.2)","52.8 (50.5, 55.0)","3.32 (3.24, 3.41)","98.5 (97.3, 99.4)","78.5 (71.6, 86.0)","100.0 (96.9, 100.0)","0.54 (0.29, 1.44)","55.9 (45.0, 67.7)","55.6 (44.8, 67.2)","3.34 (3.32, 3.37)","98.6 (98.3, 98.9)","78.2 (75.9, 80.5)","99.5 (98.6, 100.0)","0.35 (0.28, 0.46)","69.3 (64.8, 74.0)","69.0 (64.5, 73.7)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,"1.03 (0.77, 1.29)","11.7 (11.4, 11.9)","2.03 (1.51, 2.58)","12.8 (12.5, 13.0)","0.60 (0.00, 1.42)","8.6 (7.6, 9.7)","0.31 (0.15, 0.50)","7.3 (6.8, 7.8)","0.65 (0.64, 0.66)","37.5 (36.5, 38.4)","18.3 (17.4, 19.4)","90.9 (89.7, 92.2)","2.12 (1.94, 2.29)","57.7 (55.8, 59.7)","52.6 (50.7, 54.6)","0.64 (0.62, 0.65)","38.6 (37.0, 40.1)","19.4 (17.8, 21.0)","91.4 (90.1, 92.7)","2.13 (1.96, 2.33)","55.0 (52.9, 57.1)","50.4 (48.4, 52.6)","0.39 (0.36, 0.44)","22.6 (19.3, 26.2)","10.8 (7.6, 14.3)","82.1 (73.3, 90.0)","3.11 (1.86, 4.76)","58.3 (47.0, 69.2)","47.7 (36.9, 59.0)","0.69 (0.68, 0.70)","38.0 (36.7, 39.2)","18.3 (17.1, 19.6)","90.3 (87.4, 93.1)","1.87 (1.48, 2.31)","71.1 (66.4, 75.4)","64.3 (59.7, 68.7)"
