scenario,ir100,pia,ir100.B,pia.B,ir100.H,pia.H,ir100.W,pia.W,link1m,vl.supp,vl.supp.all,link1m.B,vl.supp.B,vl.supp.all.B,link1m.H,vl.supp.H,vl.supp.all.H,link1m.W,vl.supp.W,vl.supp.all.W
3000,"1.27 (1.01, 1.59)",NA,"2.57 (1.96, 3.23)",NA,"0.78 (0.19, 1.66)",NA,"0.38 (0.20, 0.58)",NA,"64.8 (61.6, 67.6)","58.3 (56.4, 60.3)","48.9 (47.2, 50.7)","62.1 (58.6, 65.6)","55.3 (53.0, 57.5)","45.7 (43.5, 47.6)","64.7 (46.2, 81.8)","58.1 (47.4, 68.9)","47.3 (37.5, 57.6)","76.4 (69.9, 82.4)","71.3 (67.1, 75.5)","64.2 (59.9, 68.7)"
3001,"1.28 (1.00, 1.58)","0.2 (-0.1, 0.4)","2.58 (1.96, 3.25)","0.1 (-0.1, 0.4)","0.78 (0.00, 1.66)","0.0 (0.0, 2.1)","0.38 (0.20, 0.58)","0.5 (0.0, 0.9)","73.7 (71.1, 76.5)","58.4 (56.5, 60.4)","49.0 (47.0, 50.8)","71.2 (67.8, 74.5)","55.3 (53.2, 57.5)","45.7 (43.7, 47.8)","74.2 (58.3, 89.7)","58.7 (46.8, 69.6)","47.7 (37.4, 57.7)","84.8 (78.8, 90.3)","71.4 (67.2, 75.6)","64.2 (60.1, 68.4)"
3002,"1.27 (1.00, 1.61)","0.4 (0.2, 0.7)","2.55 (1.98, 3.24)","0.4 (0.1, 0.7)","0.78 (0.19, 1.77)","0.0 (0.0, 2.4)","0.38 (0.22, 0.57)","0.2 (0.0, 0.7)","80.8 (78.2, 83.3)","58.3 (56.3, 60.3)","48.9 (46.9, 51.0)","78.6 (75.6, 81.5)","55.3 (53.1, 57.6)","45.7 (43.5, 47.9)","81.8 (65.5, 93.8)","58.3 (47.8, 70.2)","47.8 (37.9, 58.5)","90.6 (86.2, 94.9)","71.2 (67.0, 75.3)","64.0 (59.6, 68.3)"
3003,"1.26 (0.99, 1.59)","0.6 (0.4, 0.9)","2.55 (1.93, 3.23)","0.6 (0.3, 0.9)","0.78 (0.19, 1.67)","0.0 (0.0, 2.2)","0.37 (0.22, 0.57)","0.6 (0.0, 1.1)","86.1 (83.9, 88.2)","58.5 (56.6, 60.4)","49.1 (47.1, 50.9)","84.3 (81.6, 86.9)","55.5 (53.3, 57.7)","45.8 (43.8, 48.0)","87.1 (74.2, 97.1)","58.2 (46.5, 68.7)","47.6 (37.6, 58.8)","94.4 (90.7, 97.5)","71.4 (67.1, 75.6)","64.2 (60.0, 68.7)"
3004,"1.27 (0.98, 1.60)","0.5 (0.2, 0.8)","2.56 (1.91, 3.26)","0.4 (0.2, 0.7)","0.78 (0.19, 1.77)","0.0 (0.0, 2.4)","0.38 (0.22, 0.59)","0.5 (0.0, 1.0)","90.1 (88.2, 92.0)","58.4 (56.4, 60.3)","48.9 (46.9, 50.8)","88.6 (86.2, 90.8)","55.3 (53.1, 57.5)","45.7 (43.5, 47.7)","91.2 (80.0, 100.0)","58.3 (47.1, 69.4)","47.4 (38.1, 58.0)","96.9 (94.1, 99.4)","71.3 (67.2, 75.6)","64.3 (60.1, 68.6)"
3005,"1.28 (0.99, 1.60)","0.2 (0.0, 0.5)","2.58 (1.93, 3.26)","0.2 (0.0, 0.5)","0.78 (0.19, 1.72)","0.0 (0.0, 0.0)","0.38 (0.22, 0.57)","0.0 (-0.5, 0.5)","76.1 (73.4, 78.9)","58.4 (56.5, 60.4)","48.9 (47.1, 50.9)","76.2 (72.9, 79.2)","55.4 (53.0, 57.5)","45.7 (43.6, 47.8)","76.7 (60.0, 90.3)","58.5 (46.8, 69.6)","47.8 (38.0, 58.5)","76.1 (69.5, 82.4)","71.5 (67.2, 75.2)","64.3 (60.1, 68.5)"
3006,"1.26 (0.99, 1.57)","0.7 (0.5, 1.0)","2.54 (1.92, 3.23)","0.9 (0.6, 1.1)","0.77 (0.18, 1.63)","0.0 (0.0, 0.0)","0.37 (0.22, 0.59)","0.0 (-0.5, 0.5)","96.7 (95.5, 97.8)","58.5 (56.6, 60.3)","49.0 (47.2, 50.8)","96.7 (95.3, 97.9)","55.5 (53.3, 57.7)","45.8 (43.8, 47.9)","96.9 (89.3, 100.0)","58.6 (48.1, 70.0)","47.9 (38.6, 58.3)","96.8 (93.9, 99.3)","71.4 (66.8, 76.0)","64.2 (59.7, 68.8)"
3007,"1.27 (0.99, 1.57)","0.6 (0.4, 0.9)","2.56 (1.95, 3.25)","0.6 (0.3, 0.9)","0.78 (0.19, 1.62)","2.4 (0.0, 2.7)","0.37 (0.20, 0.58)","0.5 (0.0, 1.0)","100.0 (100.0, 100.0)","58.6 (56.6, 60.4)","49.1 (47.2, 51.0)","100.0 (100.0, 100.0)","55.5 (53.2, 57.7)","45.9 (43.7, 48.1)","100.0 (100.0, 100.0)","58.8 (47.9, 69.7)","48.3 (38.5, 58.8)","100.0 (100.0, 100.0)","71.5 (67.3, 75.8)","64.4 (59.8, 69.0)"
3008,"1.28 (0.99, 1.60)","0.2 (-0.1, 0.4)","2.57 (1.92, 3.28)","0.1 (-0.1, 0.4)","0.78 (0.18, 1.66)","0.0 (0.0, 2.2)","0.38 (0.22, 0.58)","0.0 (-0.5, 0.5)","72.0 (69.0, 74.7)","58.4 (56.4, 60.4)","49.0 (47.0, 50.8)","71.3 (67.9, 74.4)","55.4 (53.3, 57.6)","45.7 (43.6, 47.8)","64.7 (48.3, 81.5)","58.2 (47.8, 69.1)","47.8 (37.9, 57.3)","76.4 (69.9, 83.3)","71.4 (66.9, 75.4)","64.2 (59.9, 68.5)"
3009,"1.28 (0.99, 1.59)","0.2 (-0.1, 0.4)","2.56 (1.93, 3.31)","0.1 (-0.1, 0.4)","0.78 (0.19, 1.74)","0.0 (0.0, 2.3)","0.38 (0.22, 0.58)","0.0 (-0.5, 0.5)","77.6 (74.9, 80.3)","58.5 (56.4, 60.4)","49.0 (47.0, 50.9)","78.5 (75.4, 81.5)","55.5 (53.2, 57.6)","45.7 (43.5, 47.9)","64.7 (46.4, 80.0)","58.7 (46.7, 69.7)","47.9 (37.0, 58.1)","76.3 (69.7, 82.7)","71.4 (67.3, 75.6)","64.3 (59.9, 68.7)"
3010,"1.27 (1.01, 1.56)","0.3 (0.0, 0.5)","2.56 (1.94, 3.20)","0.2 (-0.1, 0.5)","0.78 (0.19, 1.64)","0.0 (0.0, 2.2)","0.38 (0.22, 0.58)","0.5 (0.0, 1.0)","82.2 (79.8, 84.7)","58.5 (56.4, 60.4)","49.0 (47.1, 50.9)","84.2 (81.7, 86.7)","55.4 (53.2, 57.6)","45.8 (43.7, 47.9)","65.5 (48.1, 82.1)","58.4 (47.9, 69.5)","47.8 (37.9, 58.0)","76.5 (70.1, 82.4)","71.5 (67.2, 75.7)","64.3 (59.8, 68.8)"
3011,"1.28 (0.99, 1.59)","0.5 (0.3, 0.8)","2.58 (1.97, 3.23)","0.5 (0.2, 0.8)","0.79 (0.00, 1.61)","0.0 (0.0, 2.1)","0.38 (0.20, 0.58)","0.5 (0.0, 1.1)","85.7 (83.4, 87.9)","58.4 (56.5, 60.2)","49.0 (47.1, 50.7)","88.7 (86.3, 90.9)","55.4 (53.1, 57.6)","45.7 (43.7, 47.7)","65.5 (48.0, 81.5)","58.4 (46.5, 69.9)","47.7 (37.2, 58.2)","76.4 (69.6, 82.9)","71.3 (66.9, 75.4)","64.2 (60.0, 68.4)"
3012,"1.27 (0.98, 1.59)","0.3 (0.0, 0.6)","2.55 (1.94, 3.25)","0.3 (0.1, 0.6)","0.77 (0.19, 1.66)","0.0 (0.0, 2.2)","0.38 (0.20, 0.58)","0.0 (-0.5, 0.5)","75.7 (73.1, 78.4)","58.3 (56.5, 60.2)","48.9 (47.0, 50.7)","76.0 (72.8, 79.1)","55.3 (53.2, 57.6)","45.7 (43.7, 47.9)","65.4 (50.0, 81.3)","58.7 (47.0, 68.8)","47.9 (37.5, 57.5)","76.5 (70.2, 82.8)","71.2 (67.4, 75.3)","64.1 (60.1, 68.5)"
