scenario,ir100,pia,ir100.B,pia.B,ir100.H,pia.H,ir100.W,pia.W,link1m,vl.supp,vl.supp.all,link1m.B,vl.supp.B,vl.supp.all.B,link1m.H,vl.supp.H,vl.supp.all.H,link1m.W,vl.supp.W,vl.supp.all.W
3000,"1.18 (0.91, 1.48)",NA,"2.40 (1.80, 3.09)",NA,"0.60 (0.00, 1.52)",NA,"0.35 (0.21, 0.54)",NA,"64.8 (61.8, 67.9)","58.1 (56.1, 60.2)","48.8 (47.0, 50.8)","62.2 (59.0, 65.5)","55.2 (52.9, 57.6)","45.7 (43.7, 47.9)","65.4 (46.7, 81.2)","58.6 (46.5, 69.7)","47.6 (37.0, 59.1)","76.3 (69.3, 82.6)","71.1 (66.8, 75.5)","63.9 (59.7, 68.4)"
3001,"1.19 (0.92, 1.52)","0.0 (-0.3, 0.3)","2.40 (1.79, 3.15)","-0.1 (-0.4, 0.2)","0.61 (0.00, 1.60)","0.0 (-2.5, 0.0)","0.35 (0.19, 0.56)","0.5 (0.0, 1.0)","80.8 (78.1, 83.1)","58.3 (56.4, 60.3)","48.9 (46.9, 50.9)","78.6 (75.6, 81.4)","55.4 (53.2, 57.6)","45.8 (43.8, 48.0)","81.5 (66.6, 93.8)","58.5 (46.3, 68.9)","47.5 (37.2, 57.8)","90.6 (85.8, 94.5)","71.2 (67.1, 75.3)","64.1 (59.7, 68.3)"
3002,"1.19 (0.92, 1.50)","-0.1 (-0.4, 0.2)","2.40 (1.82, 3.03)","-0.1 (-0.4, 0.1)","0.61 (0.00, 1.46)","0.0 (-2.6, 0.0)","0.35 (0.19, 0.54)","0.0 (-0.5, 0.5)","90.1 (88.3, 91.9)","58.2 (56.4, 60.2)","48.8 (47.0, 50.6)","88.6 (86.5, 90.8)","55.3 (53.3, 57.5)","45.8 (43.7, 47.8)","90.9 (78.1, 100.0)","58.6 (46.9, 71.2)","47.6 (37.0, 59.0)","96.9 (94.1, 99.4)","71.1 (67.2, 75.6)","64.1 (59.8, 68.3)"
,,,,,,,,,,,,,,,,,,,,
3003,"1.18 (0.92, 1.47)","0.1 (-0.2, 0.4)","2.39 (1.80, 3.04)","0.1 (-0.2, 0.4)","0.61 (0.19, 1.55)","0.0 (-2.5, 0.0)","0.34 (0.19, 0.54)","0.0 (-0.5, 0.6)","76.1 (73.3, 78.9)","58.2 (56.3, 60.2)","48.9 (46.9, 50.8)","76.1 (73.1, 79.2)","55.3 (53.1, 57.5)","45.9 (43.7, 48.0)","75.9 (60.7, 90.9)","58.6 (47.0, 70.5)","47.7 (37.3, 59.1)","76.1 (69.7, 82.3)","71.2 (66.7, 75.3)","64.0 (59.5, 68.3)"
3004,"1.19 (0.91, 1.47)","0.2 (-0.1, 0.4)","2.37 (1.82, 3.03)","0.1 (-0.1, 0.4)","0.61 (0.00, 1.58)","0.0 (0.0, 0.0)","0.35 (0.19, 0.52)","0.5 (0.0, 1.0)","96.7 (95.6, 97.8)","58.3 (56.5, 60.2)","49.0 (47.1, 50.9)","96.7 (95.5, 97.9)","55.4 (53.3, 57.6)","45.9 (43.9, 48.0)","96.9 (88.9, 100.0)","58.4 (46.8, 70.8)","47.7 (37.0, 58.7)","96.8 (93.7, 99.3)","71.3 (66.8, 75.7)","64.2 (59.8, 68.6)"
3005,"1.17 (0.92, 1.46)","0.8 (0.5, 1.0)","2.36 (1.79, 3.05)","0.7 (0.4, 1.0)","0.61 (0.00, 1.57)","0.0 (0.0, 2.3)","0.34 (0.19, 0.53)","1.0 (0.5, 1.5)","100.0 (100.0, 100.0)","58.4 (56.5, 60.4)","49.0 (47.2, 51.0)","100.0 (100.0, 100.0)","55.5 (53.2, 57.6)","45.9 (43.8, 48.1)","100.0 (100.0, 100.0)","58.7 (46.3, 70.8)","47.7 (36.8, 58.4)","100.0 (100.0, 100.0)","71.3 (67.2, 75.6)","64.1 (60.1, 68.7)"
,,,,,,,,,,,,,,,,,,,,
3006,"1.19 (0.91, 1.49)","0.0 (-0.3, 0.3)","2.42 (1.80, 3.09)","0.0 (-0.3, 0.2)","0.61 (0.00, 1.46)","0.0 (0.0, 0.0)","0.34 (0.17, 0.54)","0.0 (-0.5, 0.5)","77.6 (75.2, 80.2)","58.2 (56.3, 60.2)","48.8 (47.0, 50.8)","78.5 (75.7, 81.5)","55.3 (53.0, 57.6)","45.8 (43.6, 48.0)","65.2 (48.1, 81.2)","58.5 (46.6, 70.0)","47.7 (36.9, 58.5)","76.4 (69.3, 82.9)","71.1 (66.9, 75.3)","63.9 (59.8, 68.0)"
3007,"1.19 (0.92, 1.48)","0.1 (-0.1, 0.4)","2.39 (1.81, 3.03)","0.1 (-0.2, 0.3)","0.61 (0.00, 1.58)","0.0 (-2.6, 0.0)","0.35 (0.19, 0.55)","0.5 (0.0, 1.0)","85.8 (83.6, 88.1)","58.2 (56.4, 60.1)","48.9 (47.1, 50.6)","88.7 (86.2, 90.8)","55.3 (53.2, 57.5)","45.8 (43.9, 47.9)","65.5 (47.8, 81.5)","58.2 (46.5, 70.0)","47.3 (37.1, 58.1)","76.5 (69.8, 82.6)","71.1 (67.0, 75.8)","64.0 (59.7, 68.8)"
,,,,,,,,,,,,,,,,,,,,
